instrument,datetime,$close,$volume
SH600000,2010-12-23,5.996326,181114740.0
SH600000,2010-12-24,6.0152135,129895880.0
SH600000,2010-12-27,5.906618,133255080.0
SH600000,2010-12-28,5.8452377,107262090.0
SH600000,2010-12-29,5.849961,92727660.0
SH600000,2010-12-30,5.812188,104810090.0
SH600000,2010-12-31,5.849961,148470960.0
SH600000,2011-01-04,5.953833,220906620.0
SH600000,2011-01-05,6.001048,226652060.0
SH600000,2011-01-06,5.9821625,135452380.0
SH600000,2011-01-07,6.2465672,590483000.0
SH600000,2011-01-10,6.171023,271115170.0
SH600000,2011-01-11,6.3268332,242512200.0
SH600000,2011-01-12,6.369327,218291500.0
SH600000,2011-01-13,6.2985044,117360904.0
SH600000,2011-01-14,6.2040744,124749130.0
SH600000,2011-01-17,5.953833,180294260.0
SH600000,2011-01-18,5.991605,84466430.0
SH600000,2011-01-19,6.0529857,82907656.0
SH600000,2011-01-20,5.892453,96076750.0
SH600000,2011-01-21,6.0199347,146142200.0
SH600000,2011-01-24,6.0152135,84773464.0
SH600000,2011-01-25,6.0765934,104632740.0
SH600000,2011-01-26,6.0813155,68809290.0
SH600000,2011-01-27,6.057705,147515060.0
SH600000,2011-01-28,5.991605,112252900.0
SH600000,2011-01-31,6.005771,111759870.0
SH600000,2011-02-01,6.0246563,88583320.0
SH600000,2011-02-09,5.9632764,106628450.0
SH600000,2011-02-10,6.029377,100395000.0
SH600000,2011-02-11,6.0199347,183256050.0
SH600000,2011-02-14,6.2040744,329391700.0
SH600000,2011-02-15,6.152137,236667680.0
SH600000,2011-02-16,6.1190877,229017420.0
SH600000,2011-02-17,6.1757436,228520500.0
SH600000,2011-02-18,6.1568584,144267600.0
SH600000,2011-02-21,6.1426945,161356000.0
SH600000,2011-02-22,5.97272,197722380.0
SH600000,2011-02-23,5.953833,141504820.0
SH600000,2011-02-24,5.9491124,206039470.0
SH600000,2011-02-25,5.97272,129675380.0
SH600000,2011-02-28,6.001048,107420870.0
SH600000,2011-03-01,6.114365,272434020.0
SH600000,2011-03-02,6.2229605,419802400.0
SH600000,2011-03-03,6.3504424,558498940.0
SH600000,2011-03-04,6.4023776,255845650.0
SH600000,2011-03-07,6.4259844,256976080.0
SH600000,2011-03-08,6.4354267,201575460.0
SH600000,2011-03-09,6.4259844,160053250.0
SH600000,2011-03-10,6.251288,199396940.0
SH600000,2011-03-11,6.185188,136996050.0
SH600000,2011-03-14,6.1946306,93327830.0
SH600000,2011-03-15,6.095479,196389740.0
SH600000,2011-03-16,6.1426945,133223720.0
SH600000,2011-03-17,6.0718713,99183140.0
SH600000,2011-03-18,6.0907574,92704950.0
SH600000,2011-03-21,6.109644,98926104.0
SH600000,2011-03-22,6.2229605,148297140.0
SH600000,2011-03-23,6.2701745,119110540.0
SH600000,2011-03-24,6.2229605,83933140.0
SH600000,2011-03-25,6.3268332,176094980.0
SH600000,2011-03-28,6.3457193,189965540.0
SH600000,2011-03-29,6.430707,246948910.0
SH600000,2011-03-30,6.5393023,363703260.0
SH600000,2011-03-31,6.430707,165817070.0
SH600000,2011-04-01,6.676225,295423300.0
SH600000,2011-04-06,6.8886943,405044960.0
SH600000,2011-04-07,6.8698077,209574610.0
SH600000,2011-04-08,6.8556433,144935900.0
SH600000,2011-04-11,6.8603654,256076140.0
SH600000,2011-04-12,6.81315,185705340.0
SH600000,2011-04-13,7.077553,242454980.0
SH600000,2011-04-14,7.06339,267704020.0
SH600000,2011-04-15,7.120049,154553760.0
SH600000,2011-04-18,7.0822773,168761470.0
SH600000,2011-04-19,6.8792515,181082130.0
SH600000,2011-04-20,6.850922,128918620.0
SH600000,2011-04-21,6.8698077,120630490.0
SH600000,2011-04-22,6.8225927,100814264.0
SH600000,2011-04-25,6.865086,160921180.0
SH600000,2011-04-26,6.964237,178247800.0
SH600000,2011-04-27,6.9028587,206439470.0
SH600000,2011-04-28,,
SH600000,2011-04-29,6.742327,215372660.0
SH600000,2011-05-03,6.7470484,99619460.0
SH600000,2011-05-04,6.529858,171557630.0
SH600000,2011-05-05,6.553467,99490370.0
SH600000,2011-05-06,6.525137,77850800.0
SH600000,2011-05-09,6.496806,64713684.0
SH600000,2011-05-10,6.595959,77931220.0
SH600000,2011-05-11,6.553467,57913580.0
SH600000,2011-05-12,6.4448714,78490616.0
SH600000,2011-05-13,6.529858,110450960.0
SH600000,2011-05-16,6.4637575,79399960.0
SH600000,2011-05-17,6.567631,102260040.0
SH600000,2011-05-18,6.680948,115692600.0
SH600000,2011-05-19,6.676225,94188184.0
SH600000,2011-05-20,6.7234406,109397480.0
SH600000,2011-05-23,6.5440235,104902200.0
SH600000,2011-05-24,6.5393023,70532810.0
SH600000,2011-05-25,6.421264,64505610.0
SH600000,2011-05-26,6.4448714,68125290.0
SH600000,2011-05-27,6.4637575,90417336.0
SH600000,2011-05-30,6.5156937,69413120.0
SH600000,2011-05-31,6.5440235,116196260.0
SH600000,2011-06-01,6.487365,91862630.0
SH600000,2011-06-02,6.2371244,165315940.0
SH600000,2011-06-03,6.269148,61935516.0
SH600000,2011-06-07,6.275361,51684384.0
SH600000,2011-06-08,6.163522,114915460.0
SH600000,2011-06-09,6.020618,81519864.0
SH600000,2011-06-10,6.051684,66815812.0
SH600000,2011-06-13,6.082749,53916468.0
SH600000,2011-06-14,6.163522,96187860.0
SH600000,2011-06-15,6.0392566,81507624.0
SH600000,2011-06-16,5.9709115,70308240.0
SH600000,2011-06-17,5.9398456,61404110.0
SH600000,2011-06-20,5.9957643,79114824.0
SH600000,2011-06-21,6.0144043,70868744.0
SH600000,2011-06-22,5.9833384,71464750.0
SH600000,2011-06-23,6.051684,82828104.0
SH600000,2011-06-24,6.275361,174801700.0
SH600000,2011-06-27,6.256721,99593700.0
SH600000,2011-06-28,6.2132273,78261920.0
SH600000,2011-06-29,6.06411,148257540.0
SH600000,2011-06-30,6.113816,144011950.0
SH600000,2011-07-01,6.051684,136725000.0
SH600000,2011-07-04,6.275361,221630610.0
SH600000,2011-07-05,6.244294,128506850.0
SH600000,2011-07-06,6.163522,125672820.0
SH600000,2011-07-07,6.1697345,177534420.0
SH600000,2011-07-08,6.3002133,154796590.0
SH600000,2011-07-11,6.244294,124408060.0
SH600000,2011-07-12,6.138669,118746150.0
SH600000,2011-07-13,6.2194414,97400650.0
SH600000,2011-07-14,6.275361,116275416.0
SH600000,2011-07-15,6.269148,107280780.0
SH600000,2011-07-18,6.2132273,142109920.0
SH600000,2011-07-19,6.1200294,125201310.0
SH600000,2011-07-20,6.113816,102621420.0
SH600000,2011-07-21,6.0454707,118535640.0
SH600000,2011-07-22,6.026831,84478456.0
SH600000,2011-07-25,5.8590736,141937630.0
SH600000,2011-07-26,5.85286,72627320.0
SH600000,2011-07-27,5.8342214,77597590.0
SH600000,2011-07-28,5.728596,105683890.0
SH600000,2011-07-29,5.8404336,153684620.0
SH600000,2011-08-01,5.790728,72313544.0
SH600000,2011-08-02,5.753449,66575676.0
SH600000,2011-08-03,5.753449,50736620.0
SH600000,2011-08-04,5.765875,48944852.0
SH600000,2011-08-05,5.6105447,115804790.0
SH600000,2011-08-08,5.4241486,158733440.0
SH600000,2011-08-09,5.5111337,178530660.0
SH600000,2011-08-10,5.5359864,108310610.0
SH600000,2011-08-11,5.654038,120360140.0
SH600000,2011-08-12,5.6105447,82344696.0
SH600000,2011-08-15,5.821794,144036940.0
SH600000,2011-08-16,5.809368,148383540.0
SH600000,2011-08-17,5.765875,71678670.0
SH600000,2011-08-18,5.6664643,65718224.0
SH600000,2011-08-19,5.6043315,89397980.0
SH600000,2011-08-22,5.579479,68825000.0
SH600000,2011-08-23,5.703743,77593930.0
SH600000,2011-08-24,5.654038,85820440.0
SH600000,2011-08-25,5.8901405,194808350.0
SH600000,2011-08-26,5.877714,99784136.0
SH600000,2011-08-29,5.703743,121242856.0
SH600000,2011-08-30,5.7099557,79132424.0
SH600000,2011-08-31,5.772088,55284356.0
SH600000,2011-09-01,5.821794,94163640.0
SH600000,2011-09-02,5.772088,51567110.0
SH600000,2011-09-05,5.6851025,49637148.0
SH600000,2011-09-06,5.660251,67822290.0
SH600000,2011-09-07,5.772088,65342080.0
SH600000,2011-09-08,5.753449,45730896.0
SH600000,2011-09-09,5.7783017,61249660.0
SH600000,2011-09-13,5.6851025,44465164.0
SH600000,2011-09-14,5.654038,81426424.0
SH600000,2011-09-15,5.5608387,91361576.0
SH600000,2011-09-16,5.579479,67958300.0
SH600000,2011-09-19,5.473853,66809468.0
SH600000,2011-09-20,5.5049205,55609770.0
SH600000,2011-09-21,5.647825,113231070.0
SH600000,2011-09-22,5.480067,86576550.0
SH600000,2011-09-23,5.4241486,87176630.0
SH600000,2011-09-26,5.243964,131571500.0
SH600000,2011-09-27,5.2936697,64785340.0
SH600000,2011-09-28,5.237751,68253400.0
SH600000,2011-09-29,5.2501774,70426810.0
SH600000,2011-09-30,5.3060956,97322664.0
SH600000,2011-10-10,5.231537,52192572.0
SH600000,2011-10-11,5.324736,95168470.0
SH600000,2011-10-12,5.498707,143906220.0
SH600000,2011-10-13,5.5111337,82563800.0
SH600000,2011-10-14,5.48628,65190268.0
SH600000,2011-10-17,5.5421996,74051290.0
SH600000,2011-10-18,5.4552135,66173896.0
SH600000,2011-10-19,5.4924936,58244080.0
SH600000,2011-10-20,5.4241486,81533224.0
SH600000,2011-10-21,5.5235596,95452744.0
SH600000,2011-10-24,5.6913157,152790300.0
SH600000,2011-10-25,5.6913157,106731870.0
SH600000,2011-10-26,5.703743,110175976.0
SH600000,2011-10-27,5.753449,73368990.0
SH600000,2011-10-28,5.828007,132785656.0
SH600000,2011-10-31,5.722382,81726980.0
SH600000,2011-11-01,5.703743,92059880.0
SH600000,2011-11-02,5.815581,95599016.0
SH600000,2011-11-03,5.741022,135758100.0
SH600000,2011-11-04,5.7845144,68507140.0
SH600000,2011-11-07,5.703743,52903316.0
SH600000,2011-11-08,5.722382,51009400.0
SH600000,2011-11-09,5.7596617,44987292.0
SH600000,2011-11-10,5.622971,75059464.0
SH600000,2011-11-11,5.6416116,40658130.0
SH600000,2011-11-14,5.722382,68075670.0
SH600000,2011-11-15,5.703743,48305700.0
SH600000,2011-11-16,5.5421996,103052104.0
SH600000,2011-11-17,5.5049205,51515028.0
SH600000,2011-11-18,5.4676394,59260556.0
SH600000,2011-11-21,5.4303613,52074904.0
SH600000,2011-11-22,5.4365745,49362284.0
SH600000,2011-11-23,5.399295,42442076.0
SH600000,2011-11-24,5.405509,39367736.0
SH600000,2011-11-25,5.3558035,34388784.0
SH600000,2011-11-28,5.343376,38575340.0
SH600000,2011-11-29,5.4241486,41782804.0
SH600000,2011-11-30,5.2812433,72380790.0
SH600000,2011-12-01,5.473853,143321780.0
SH600000,2011-12-02,5.4676394,62186900.0
SH600000,2011-12-05,5.4676394,64681880.0
SH600000,2011-12-06,5.4241486,42554856.0
SH600000,2011-12-07,5.4552135,37582560.0
SH600000,2011-12-08,5.4552135,35262956.0
SH600000,2011-12-09,5.405509,47501870.0
SH600000,2011-12-12,5.380656,37074652.0
SH600000,2011-12-13,5.33095,76611880.0
SH600000,2011-12-14,5.343376,43994816.0
SH600000,2011-12-15,5.275029,66823224.0
SH600000,2011-12-16,5.3558035,60725744.0
SH600000,2011-12-19,5.3495893,72852560.0
SH600000,2011-12-20,5.337162,61766564.0
SH600000,2011-12-21,5.2998834,67014510.0
SH600000,2011-12-22,5.2998834,68696500.0
SH600000,2011-12-23,5.3060956,37441384.0
SH600000,2011-12-26,5.2626038,51163044.0
SH600000,2011-12-27,5.243964,50015344.0
SH600000,2011-12-28,5.2066846,67615480.0
SH600000,2011-12-29,5.1880445,64467370.0
SH600000,2011-12-30,5.275029,85273760.0
SH600000,2012-01-04,5.225323,55046080.0
SH600000,2012-01-05,5.374443,212636960.0
SH600000,2012-01-06,5.4117217,99430900.0
SH600000,2012-01-09,5.5608387,128976840.0
SH600000,2012-01-10,5.6353974,115889250.0
SH600000,2012-01-11,5.5919046,79284320.0
SH600000,2012-01-12,5.647825,97351930.0
SH600000,2012-01-13,5.616759,91297670.0
SH600000,2012-01-16,5.5732656,53273692.0
SH600000,2012-01-17,5.7161694,156693540.0
SH600000,2012-01-18,5.616759,93492910.0
SH600000,2012-01-19,5.7161694,110482940.0
SH600000,2012-01-20,5.85286,152984420.0
SH600000,2012-01-30,5.728596,115693730.0
SH600000,2012-01-31,5.728596,57078384.0
SH600000,2012-02-01,5.6416116,63812050.0
SH600000,2012-02-02,5.8404336,141590380.0
SH600000,2012-02-03,5.865287,156336300.0
SH600000,2012-02-06,5.8342214,102509150.0
SH600000,2012-02-07,5.741022,82712880.0
SH600000,2012-02-08,5.8715005,103441736.0
SH600000,2012-02-09,5.8404336,80914220.0
SH600000,2012-02-10,5.821794,83429240.0
SH600000,2012-02-13,5.7596617,79193880.0
SH600000,2012-02-14,5.7099557,85341900.0
SH600000,2012-02-15,5.734809,88625050.0
SH600000,2012-02-16,5.7099557,76452696.0
SH600000,2012-02-17,5.753449,67184540.0
SH600000,2012-02-20,5.753449,92930770.0
SH600000,2012-02-21,5.765875,68816700.0
SH600000,2012-02-22,5.790728,131087720.0
SH600000,2012-02-23,5.7969413,141238800.0
SH600000,2012-02-24,5.9087806,206562200.0
SH600000,2012-02-27,5.8901405,203861820.0
SH600000,2012-02-28,6.001977,219082770.0
SH600000,2012-02-29,5.9274197,125148830.0
SH600000,2012-03-01,5.9336324,74418424.0
SH600000,2012-03-02,6.020618,119121950.0
SH600000,2012-03-05,5.952272,106382750.0
SH600000,2012-03-06,5.865287,110168744.0
SH600000,2012-03-07,5.8031545,82207240.0
SH600000,2012-03-08,5.877714,88244856.0
SH600000,2012-03-09,5.883927,76466690.0
SH600000,2012-03-12,5.828007,84954850.0
SH600000,2012-03-13,5.883927,98869930.0
SH600000,2012-03-14,5.815581,159788640.0
SH600000,2012-03-15,5.7099557,113747470.0
SH600000,2012-03-16,5.747236,116822630.0
SH600000,2012-03-19,5.765875,80840490.0
SH600000,2012-03-20,5.6664643,100954880.0
SH600000,2012-03-21,5.6416116,83478424.0
SH600000,2012-03-22,5.6664643,62207908.0
SH600000,2012-03-23,5.6291842,56763484.0
SH600000,2012-03-26,5.672678,54227596.0
SH600000,2012-03-27,5.6664643,43929880.0
SH600000,2012-03-28,5.5732656,70117020.0
SH600000,2012-03-29,5.5111337,77884490.0
SH600000,2012-03-30,5.5484123,81418240.0
SH600000,2012-04-05,5.5484123,122886200.0
SH600000,2012-04-06,5.554626,91228710.0
SH600000,2012-04-09,5.4924936,56154108.0
SH600000,2012-04-10,5.5421996,72662700.0
SH600000,2012-04-11,5.5235596,63408380.0
SH600000,2012-04-12,5.6664643,103926050.0
SH600000,2012-04-13,5.6788907,98460350.0
SH600000,2012-04-16,5.6291842,62149332.0
SH600000,2012-04-17,5.5484123,79614024.0
SH600000,2012-04-18,5.6664643,108024340.0
SH600000,2012-04-19,5.6664643,78039940.0
SH600000,2012-04-20,5.7845144,124316760.0
SH600000,2012-04-23,5.741022,67338696.0
SH600000,2012-04-24,5.828007,182136340.0
SH600000,2012-04-25,5.809368,107012050.0
SH600000,2012-04-26,5.821794,86632800.0
SH600000,2012-04-27,5.846647,75830136.0
SH600000,2012-05-02,5.9398456,173334980.0
SH600000,2012-05-03,5.877714,97469570.0
SH600000,2012-05-04,5.896354,115334370.0
SH600000,2012-05-07,5.85286,132339790.0
SH600000,2012-05-08,5.815581,139575360.0
SH600000,2012-05-09,5.7161694,104723170.0
SH600000,2012-05-10,5.6913157,108761930.0
SH600000,2012-05-11,5.6913157,57188850.0
SH600000,2012-05-14,5.6416116,114105940.0
SH600000,2012-05-15,5.616759,97260210.0
SH600000,2012-05-16,5.5359864,121572450.0
SH600000,2012-05-17,5.5732656,69356320.0
SH600000,2012-05-18,5.5049205,99706890.0
SH600000,2012-05-21,5.5111337,75129400.0
SH600000,2012-05-22,5.5670524,108719090.0
SH600000,2012-05-23,5.5235596,99754580.0
SH600000,2012-05-24,5.498707,80082700.0
SH600000,2012-05-25,5.4614263,73854984.0
SH600000,2012-05-28,5.5111337,84251940.0
SH600000,2012-05-29,5.5608387,150451020.0
SH600000,2012-05-30,5.480067,141692030.0
SH600000,2012-05-31,5.449,107852480.0
SH600000,2012-06-01,5.4552135,68244210.0
SH600000,2012-06-04,5.337162,111645640.0
SH600000,2012-06-05,5.318522,112126750.0
SH600000,2012-06-06,5.3558035,80342840.0
SH600000,2012-06-07,5.318522,77297030.0
SH600000,2012-06-08,5.181832,225952960.0
SH600000,2012-06-11,5.181832,115310200.0
SH600000,2012-06-12,5.150766,132670520.0
SH600000,2012-06-13,,
SH600000,2012-06-14,5.1383395,128785630.0
SH600000,2012-06-15,5.2626038,216016600.0
SH600000,2012-06-18,5.2563906,80816216.0
SH600000,2012-06-19,5.275029,75658430.0
SH600000,2012-06-20,5.2812433,80473640.0
SH600000,2012-06-21,5.243964,63451530.0
